央视,#genre#
CCTV8,http://183.54.210.224:9999/udp/239.77.0.181:5146
CCTV9,http://183.54.210.224:9999/udp/239.77.1.160:5146
CCTV9,http://183.54.210.224:9999/udp/239.77.1.168:5146
CCTV9,http://183.54.210.224:9999/udp/239.77.0.135:5146
CCTV10,http://183.54.210.224:9999/udp/239.77.1.113:5146
CCTV10,http://183.54.210.224:9999/udp/239.77.1.169:5146
CCTV10,http://183.54.210.224:9999/udp/239.77.0.134:5146
CCTV11,http://183.54.210.224:9999/udp/239.77.1.238:5146
CCTV12,http://183.54.210.224:9999/udp/239.77.1.109:5146
CCTV12,http://183.54.210.224:9999/udp/239.77.1.170:5146
CCTV12,http://183.54.210.224:9999/udp/239.77.0.136:5146
CCTV13,http://183.54.210.224:9999/udp/239.77.0.188:5146
CCTV13,http://183.54.210.224:9999/udp/239.253.43.196:5146
CCTV14,http://183.54.210.224:9999/udp/239.77.1.161:5146
CCTV14,http://183.54.210.224:9999/udp/239.77.1.171:5146
CCTV14,http://183.54.210.224:9999/udp/239.77.0.133:5146
CCTV15,http://183.54.210.224:9999/udp/239.77.1.239:5146
CCTV16,http://183.54.210.224:9999/udp/239.77.0.165:5146
CCTV16,http://183.54.210.224:9999/udp/239.77.1.76:5146
CCTV16,http://183.54.210.224:9999/udp/239.77.1.98:5146
CCTV17,http://183.54.210.224:9999/udp/239.77.1.121:5146
CCTV4,http://183.54.210.224:9999/udp/239.77.0.194:5146
CCTV4,http://183.54.210.224:9999/udp/239.77.0.174:5146
CCTV1,http://42.237.180.220:4000/rtp/225.1.4.73:1102
CCTV2,http://42.237.180.220:4000/rtp/225.1.4.74:1103
CCTV3,http://42.237.180.220:4000/rtp/225.1.4.158:1194
CCTV4,http://42.237.180.220:4000/rtp/225.1.5.30:1333
CCTV5,http://42.237.180.220:4000/rtp/225.1.4.159:1195
CCTV6,http://42.237.180.220:4000/rtp/225.1.4.160:1196
CCTV7,http://42.237.180.220:4000/rtp/225.1.4.76:1105
CCTV8,http://42.237.180.220:4000/rtp/225.1.4.161:1197
CCTV9,http://42.237.180.220:4000/rtp/225.1.4.77:1106
CCTV10,http://42.237.180.220:4000/rtp/225.1.4.78:1107
CCTV11,http://42.237.180.220:4000/rtp/225.1.4.215:1268
CCTV12,http://42.237.180.220:4000/rtp/225.1.4.79:1108
CCTV13,http://42.237.180.220:4000/rtp/225.1.4.113:1293
CCTV14,http://42.237.180.220:4000/rtp/225.1.4.80:1109
CCTV15,http://42.237.180.220:4000/rtp/225.1.4.216:1269
CCTV16,http://42.237.180.220:4000/rtp/225.1.5.46:1356
CCTV17,http://42.237.180.220:4000/rtp/225.1.4.226:2506
CCTV5,http://42.237.180.220:4000/rtp/225.1.4.75:1104
CCTV1,http://42.237.180.220:4000/rtp/225.1.4.1:1030
CCTV2,http://42.237.180.220:4000/rtp/225.1.4.2:1031
CCTV4,http://42.237.180.220:4000/rtp/225.1.4.4:1033
CCTV7,http://42.237.180.220:4000/rtp/225.1.4.7:1036
CCTV9,http://42.237.180.220:4000/rtp/225.1.4.9:1038
CCTV10,http://42.237.180.220:4000/rtp/225.1.4.10:1039
CCTV11,http://42.237.180.220:4000/rtp/225.1.4.11:1040
CCTV12,http://42.237.180.220:4000/rtp/225.1.4.12:1041
CCTV13,http://42.237.180.220:4000/rtp/225.1.4.13:1042
CCTV14,http://42.237.180.220:4000/rtp/225.1.4.14:1043
CCTV15,http://42.237.180.220:4000/rtp/225.1.4.15:1044
CCTV17,http://42.237.180.220:4000/rtp/225.1.4.227:2507
CCTV4,http://42.237.180.220:4000/rtp/225.1.5.31:1342
CCTV4,http://42.237.180.220:4000/rtp/225.1.5.32:1343
CCTV1,http://119.98.183.124:8000/rtp/239.254.96.96:8550
CCTV2,http://119.98.183.124:8000/rtp/239.69.1.102:10250
CCTV3,http://119.98.183.124:8000/rtp/239.69.1.122:10370
CCTV4,http://119.98.183.124:8000/rtp/239.69.1.138:10466
CCTV5,http://119.98.183.124:8000/rtp/239.69.1.123:10376
CCTV5+,http://119.98.183.124:8000/rtp/239.254.96.234:9484
CCTV6,http://119.98.183.124:8000/rtp/239.69.1.124:10382
CCTV7,http://119.98.183.124:8000/rtp/239.69.1.103:10256
CCTV8,http://119.98.183.124:8000/rtp/239.69.1.125:10388
CCTV9,http://119.98.183.124:8000/rtp/239.69.1.104:10262
CCTV10,http://119.98.183.124:8000/rtp/239.69.1.105:10268
CCTV11,http://119.98.183.124:8000/rtp/239.69.1.154:10560
CCTV12,http://119.98.183.124:8000/rtp/239.69.1.106:10274
CCTV13,http://119.98.183.124:8000/rtp/239.254.96.161:9040
CCTV14,http://119.98.183.124:8000/rtp/239.69.1.107:10280
CCTV15,http://119.98.183.124:8000/rtp/239.69.1.155:10566
CCTV16,http://119.98.183.124:8000/rtp/239.69.1.247:11124
CCTV17,http://119.98.183.124:8000/rtp/239.69.1.152:10548
CCTV第一剧场,http://119.98.183.124:8000/rtp/239.69.1.74:10084
CCTV兵器科技,http://119.98.183.124:8000/rtp/239.69.1.79:10114
CCTV风云足球,http://119.98.183.124:8000/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://119.98.183.124:8000/rtp/239.69.1.83:10138
CCTV世界地理,http://119.98.183.124:8000/rtp/239.69.1.91:10186
CCTV央视台球,http://119.98.183.124:8000/rtp/239.69.1.98:10224
CCTV16,http://119.98.183.124:8000/rtp/239.69.1.249:11136
CETV1,http://119.98.183.124:8000/rtp/239.69.1.110:10298
CCTV5+,http://119.98.183.124:8000/rtp/239.69.1.12:9712
CCTV16,http://119.98.183.124:8000/rtp/239.69.1.13:9718
CCTV1,http://27.11.252.155:8010/udp/225.0.4.74:7980
CCTV2,http://27.11.252.155:8010/udp/225.0.4.132:7980
CCTV3,http://27.11.252.155:8010/udp/225.0.4.142:7980
CCTV4,http://27.11.252.155:8010/udp/225.0.4.176:7980
CCTV5,http://27.11.252.155:8010/udp/225.0.4.143:7980
CCTV5+,http://27.11.252.155:8010/udp/225.0.4.73:7980
CCTV6,http://27.11.252.155:8010/udp/225.0.4.144:7980
CCTV7,http://27.11.252.155:8010/udp/225.0.4.127:7980
CCTV8,http://27.11.252.155:8010/udp/225.0.4.137:7980
CCTV9,http://27.11.252.155:8010/udp/225.0.4.131:7980
CCTV10,http://27.11.252.155:8010/udp/225.0.4.130:7980
CCTV11,http://27.11.252.155:8010/udp/225.0.4.218:7980
CCTV12,http://27.11.252.155:8010/udp/225.0.4.129:7980
CCTV13,http://27.11.252.155:8010/udp/225.0.4.219:7980
CCTV14,http://27.11.252.155:8010/udp/225.0.4.128:7980
CCTV15,http://27.11.252.155:8010/udp/225.0.4.220:7980
CCTV17,http://27.11.252.155:8010/udp/225.0.4.179:7980
CCTV1,http://27.11.252.155:8008/udp/225.0.4.74:7980
CCTV2,http://27.11.252.155:8008/udp/225.0.4.132:7980
CCTV3,http://27.11.252.155:8008/udp/225.0.4.142:7980
CCTV4,http://27.11.252.155:8008/udp/225.0.4.176:7980
CCTV5,http://27.11.252.155:8008/udp/225.0.4.143:7980
CCTV5+,http://27.11.252.155:8008/udp/225.0.4.73:7980
CCTV6,http://27.11.252.155:8008/udp/225.0.4.144:7980
CCTV7,http://27.11.252.155:8008/udp/225.0.4.127:7980
CCTV8,http://27.11.252.155:8008/udp/225.0.4.137:7980
CCTV9,http://27.11.252.155:8008/udp/225.0.4.131:7980
CCTV10,http://27.11.252.155:8008/udp/225.0.4.130:7980
CCTV11,http://27.11.252.155:8008/udp/225.0.4.218:7980
CCTV12,http://27.11.252.155:8008/udp/225.0.4.129:7980
CCTV13,http://27.11.252.155:8008/udp/225.0.4.219:7980
CCTV14,http://27.11.252.155:8008/udp/225.0.4.128:7980
CCTV15,http://27.11.252.155:8008/udp/225.0.4.220:7980
CCTV17,http://27.11.252.155:8008/udp/225.0.4.179:7980
CCTV1,http://123.145.17.178:8005/udp/225.0.4.74:7980
CCTV2,http://123.145.17.178:8005/udp/225.0.4.132:7980
CCTV3,http://123.145.17.178:8005/udp/225.0.4.142:7980
CCTV4,http://123.145.17.178:8005/udp/225.0.4.176:7980
CCTV5,http://123.145.17.178:8005/udp/225.0.4.143:7980
CCTV5+,http://123.145.17.178:8005/udp/225.0.4.73:7980
CCTV6,http://123.145.17.178:8005/udp/225.0.4.144:7980
CCTV7,http://123.145.17.178:8005/udp/225.0.4.127:7980
CCTV8,http://123.145.17.178:8005/udp/225.0.4.137:7980
CCTV9,http://123.145.17.178:8005/udp/225.0.4.131:7980
CCTV10,http://123.145.17.178:8005/udp/225.0.4.130:7980
CCTV11,http://123.145.17.178:8005/udp/225.0.4.218:7980
CCTV12,http://123.145.17.178:8005/udp/225.0.4.129:7980
CCTV13,http://123.145.17.178:8005/udp/225.0.4.219:7980
